Date,CPI,WPI
2012-04-01,97.8,104.7
2012-05-01,98.6,105.3
2012-06-01,99.8,105.3
2012-07-01,101.1,106.2
2012-08-01,102.2,106.9
2012-09-01,102.9,107.6
2012-10-01,103.6,107.4
2012-11-01,104.3,107.3
2012-12-01,104.6,107.1
2013-01-01,104.6,108.0
2013-02-01,105.3,108.4
2013-03-01,105.5,108.6
2013-04-01,106.1,108.6
2013-05-01,106.9,108.6
2013-06-01,109.3,110.1
2013-07-01,111.0,111.2
2013-08-01,112.4,112.9
2013-09-01,113.7,114.3
2013-10-01,114.8,114.6
2013-11-01,116.3,114.3
2013-12-01,114.5,113.4
2014-01-01,113.6,113.6
2014-02-01,113.6,113.6
2014-03-01,114.2,114.3
2014-04-01,115.1,114.1
2014-05-01,115.8,114.8
2014-06-01,116.7,115.2
2014-07-01,119.2,116.7
2014-08-01,120.3,117.2
2014-09-01,120.1,116.4
2014-10-01,120.1,115.6
2014-11-01,120.1,114.1
2014-12-01,119.4,112.1
2015-01-01,119.5,110.8
2015-02-01,119.7,109.6
2015-03-01,120.2,109.9
2015-04-01,120.7,110.2
2015-05-01,121.6,111.4
2015-06-01,123.0,111.8
2015-07-01,123.6,111.1
2015-08-01,124.8,110.0
2015-09-01,125.4,109.9
2015-10-01,126.1,110.1
2015-11-01,126.6,109.9
2015-12-01,126.1,109.4
2016-01-01,126.3,108.0
2016-02-01,126.0,107.1
2016-03-01,126.0,107.7
2016-04-01,127.3,109.0
2016-05-01,128.6,110.4
2016-06-01,130.1,111.7
2016-07-01,131.1,111.8
2016-08-01,131.1,111.2
2016-09-01,130.8,111.4
2016-10-01,131.4,111.5
2016-11-01,131.2,111.9
2016-12-01,130.4,111.7
2017-01-01,130.3,112.6
2017-02-01,130.6,113.0
2017-03-01,130.8,113.2
2017-04-01,131.1,113.2
2017-05-01,131.4,112.9
2017-06-01,132.0,112.7
2017-07-01,134.2,113.9
2017-08-01,135.4,114.8
2017-09-01,135.2,114.9
2017-10-01,136.1,115.6
2017-11-01,137.6,116.4
2017-12-01,137.2,115.7
2018-01-01,136.9,116.0
2018-02-01,136.4,116.1
2018-03-01,136.5,116.3
2018-04-01,137.1,117.3
2018-05-01,137.8,118.3
2018-06-01,138.5,119.1
2018-07-01,139.8,119.9
2018-08-01,140.4,120.1
2018-09-01,140.2,120.9
2018-10-01,140.7,122.0
2018-11-01,140.8,121.6
2018-12-01,140.1,119.7
2019-01-01,139.6,119.2
2019-02-01,139.9,119.5
2019-03-01,140.4,119.9
2019-04-01,141.2,121.1
2019-05-01,142.0,121.6
2019-06-01,142.9,121.5
2019-07-01,144.2,121.3
2019-08-01,145.0,121.5
2019-09-01,145.8,121.3
2019-10-01,147.2,122.0
2019-11-01,148.6,122.3
2019-12-01,150.4,123.0
2020-01-01,150.2,123.4
2020-02-01,149.1,122.2
2020-03-01,148.6,120.4
2020-04-01,151.4,119.2
2020-05-01,150.9,117.5
2020-06-01,151.8,119.3
2020-07-01,153.9,121.0
2020-08-01,154.7,122.0
2020-09-01,156.4,122.9
2020-10-01,158.4,123.6
2020-11-01,158.9,125.1
2020-12-01,157.3,125.4
2021-01-01,156.3,126.5
2021-02-01,156.6,128.1
2021-03-01,156.8,129.9
2021-04-01,157.8,132.0
2021-05-01,160.4,132.9
2021-06-01,161.3,133.7
2021-07-01,162.5,135.0
2021-08-01,162.9,136.2
2021-09-01,163.2,137.4
2021-10-01,165.5,140.7
2021-11-01,166.7,143.7
2021-12-01,166.2,143.3
2022-01-01,165.7,143.8
2022-02-01,166.1,145.3
2022-03-01,167.7,148.9
2022-04-01,170.1,152.3
2022-05-01,171.7,155.0
2022-06-01,172.6,155.4
2022-07-01,173.4,154.0
2022-08-01,174.3,153.2
2022-09-01,175.3,151.9
2022-10-01,176.7,152.9
2022-11-01,176.5,152.5
2022-12-01,175.7,150.5
2023-01-01,176.5,150.7
2023-02-01,176.8,150.9
2023-03-01,177.2,151.0
2023-04-01,178.1,151.1
2023-05-01,179.1,149.4
2023-06-01,181.0,148.9
2023-07-01,186.3,152.1
2023-08-01,186.2,152.5
2023-09-01,184.1,151.8
2023-10-01,185.3,152.5
2023-11-01,186.3,153.1
2023-12-01,185.7,151.8
2024-01-01,185.5,151.2
2024-02-01,185.8,151.2
2024-03-01,185.8,151.4
2024-04-01,186.7,152.9
2024-05-01,187.7,153.5
2024-06-01,190.2,154.0
2024-07-01,193.0,155.3
2024-08-01,193.0,154.4
2024-09-01,194.2,154.7
2024-10-01,196.8,156.7
2024-11-01,196.5,156.4
2024-12-01,195.4,155.7
2025-01-01,193.4,155.0
2025-02-01,192.5,154.9
2025-03-01,192.0,154.8
2025-04-01,192.6,154.2
2025-05-01,193.0,153.7
2025-06-01,194.2,153.7
2025-07-01,196.1,154.4
2025-08-01,197.0,155.2
2025-09-01,197.0,155.0
2025-10-01,197.3,155.1
2025-11-01,197.9,156.2
2025-12-01,198.0,157.2
