date,cpi,wpi,month,year,quarter,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,cpi_pct_change,cpi_diff,wpi_pct_change,wpi_lag1,trend_index,cpi_wpi_diff
2013-04-01,106.1,108.6,4,2013,2,105.5,105.3,104.6,103.6,97.8,105.63333333333333,0.4163331998933108,105.06666666666666,0.6831300510640471,0.5687203791469031,0.5999999999999943,0.0,108.6,12,-2.5
2013-05-01,106.9,108.6,5,2013,2,106.1,105.5,105.3,104.3,98.6,106.16666666666667,0.702376916856927,105.5,0.8921883209278847,0.7540056550424223,0.8000000000000114,0.0,108.6,13,-1.6999999999999886
2013-06-01,109.3,110.1,6,2013,2,106.9,106.1,105.5,104.6,99.8,107.43333333333332,1.6653327995729619,106.28333333333335,1.6690316553818896,2.2450888681010195,2.3999999999999915,1.3812154696132506,108.6,14,-0.7999999999999972
2013-07-01,111.0,111.2,7,2013,3,109.3,106.9,106.1,104.6,101.1,109.06666666666668,2.059935274064119,107.34999999999998,2.3028243528328836,1.5553522415370669,1.7000000000000028,0.9990917347865613,110.1,15,-0.20000000000000284
2013-08-01,112.4,112.9,8,2013,3,111.0,109.3,106.9,105.3,102.2,110.89999999999999,1.5524174696261275,108.53333333333335,2.8076087096792737,1.2612612612612706,1.4000000000000057,1.5287769784172678,111.2,16,-0.5
2013-09-01,113.7,114.3,9,2013,3,112.4,111.0,109.3,105.5,102.9,112.36666666666667,1.3503086067020955,109.89999999999999,3.0232432915662426,1.1565836298932375,1.2999999999999972,1.2400354295836857,112.9,17,-0.5999999999999943
2013-10-01,114.8,114.6,10,2013,4,113.7,112.4,111.0,106.1,103.6,113.63333333333333,1.2013880860628614,111.35000000000001,2.920787565024251,0.9674582233949014,1.0999999999999943,0.2624671916010568,114.3,18,0.20000000000000284
2013-11-01,116.3,114.3,11,2013,4,114.8,113.7,112.4,106.9,104.3,114.93333333333334,1.3051181300303147,112.91666666666667,2.5545384449381436,1.3066202090592283,1.5,-0.2617801047120394,114.6,19,2.0
2013-12-01,114.5,113.4,12,2013,4,116.3,114.8,113.7,109.3,104.6,115.2,0.9643650760995574,113.78333333333335,1.8734104373220004,-1.5477214101461745,-1.7999999999999972,-0.7874015748031371,114.3,20,1.0999999999999943
2014-01-01,113.6,113.6,1,2014,1,114.5,116.3,114.8,111.0,104.6,114.8,1.3747727084869308,114.21666666666668,1.3197221929887473,-0.7860262008733687,-0.9000000000000057,0.17636684303350414,113.4,21,0.0
